home_team,away_team,home_goals,away_goals,result,season,home_avg_goals_scored,home_avg_goals_conceded,home_wins,home_draws,home_losses,home_matches_played,home_win_rate,away_avg_goals_scored,away_avg_goals_conceded,away_wins,away_draws,away_losses,away_matches_played,away_win_rate
Mannheim,Leverkusen,1,1,draw,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Dortmund,Stuttgart,1,2,loss,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
S'gart Kickers,Bochum,1,2,loss,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
St Pauli,Nürnberg,0,1,loss,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Köln,Uerdingen,1,1,draw,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Hannover 96,Karlsruher,2,3,loss,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Werder Bremen,Hamburger SV,2,1,win,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Gladbach,Kaiserslautern,4,1,win,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Bayern Munich,Eint Frankfurt,3,0,win,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Hamburger SV,Dortmund,0,0,draw,1988-1989,1.0,2.0,0,0,1,1,0.0,1.0,2.0,0,0,1,1,0.0
Stuttgart,Hannover 96,2,1,win,1988-1989,2.0,1.0,1,0,0,1,1.0,2.0,3.0,0,0,1,1,0.0
Nürnberg,Köln,0,2,loss,1988-1989,1.0,0.0,1,0,0,1,1.0,1.0,1.0,0,1,0,1,0.0
Uerdingen,Mannheim,0,0,draw,1988-1989,1.0,1.0,0,1,0,1,0.0,1.0,1.0,0,1,0,1,0.0
Karlsruher,Bayern Munich,2,2,draw,1988-1989,3.0,2.0,1,0,0,1,1.0,3.0,0.0,1,0,0,1,1.0
Kaiserslautern,Werder Bremen,0,0,draw,1988-1989,1.0,4.0,0,0,1,1,0.0,2.0,1.0,1,0,0,1,1.0
Bochum,St Pauli,0,0,draw,1988-1989,2.0,1.0,1,0,0,1,1.0,0.0,1.0,0,0,1,1,0.0
Eint Frankfurt,S'gart Kickers,1,2,loss,1988-1989,0.0,3.0,0,0,1,1,0.0,1.0,2.0,0,0,1,1,0.0
Leverkusen,Gladbach,3,1,win,1988-1989,1.0,1.0,0,1,0,1,0.0,4.0,1.0,1,0,0,1,1.0
Dortmund,Kaiserslautern,1,1,draw,1988-1989,0.5,1.0,0,1,1,2,0.0,0.5,2.0,0,1,1,2,0.0
Werder Bremen,Leverkusen,3,1,win,1988-1989,1.0,0.5,1,1,0,2,0.5,2.0,1.0,1,1,0,2,0.5
Mannheim,Gladbach,4,1,win,1988-1989,0.5,0.5,0,2,0,2,0.0,2.5,2.0,1,0,1,2,0.5
S'gart Kickers,Karlsruher,1,3,loss,1988-1989,1.5,1.5,1,0,1,2,0.5,2.5,2.0,1,1,0,2,0.5
Uerdingen,Nürnberg,3,2,win,1988-1989,0.5,0.5,0,2,0,2,0.0,0.5,1.0,1,0,1,2,0.5
Hannover 96,Hamburger SV,2,3,loss,1988-1989,1.5,2.5,0,0,2,2,0.0,0.5,1.0,0,1,1,2,0.0
St Pauli,Eint Frankfurt,2,0,win,1988-1989,0.0,0.5,0,1,1,2,0.0,0.5,2.5,0,0,2,2,0.0
Köln,Bochum,1,0,win,1988-1989,1.5,0.5,1,1,0,2,0.5,1.0,0.5,1,1,0,2,0.5
Eint Frankfurt,Köln,1,0,win,1988-1989,0.3333333333333333,2.3333333333333335,0,0,3,3,0.0,1.3333333333333333,0.3333333333333333,2,1,0,3,0.6666666666666666
Karlsruher,St Pauli,3,1,win,1988-1989,2.6666666666666665,1.6666666666666667,2,1,0,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,1,1,1,3,0.3333333333333333
Gladbach,Werder Bremen,4,1,win,1988-1989,2.0,2.6666666666666665,1,0,2,3,0.3333333333333333,1.6666666666666667,0.6666666666666666,2,1,0,3,0.6666666666666666
Stuttgart,S'gart Kickers,4,0,win,1988-1989,2.0,1.0,2,0,0,2,1.0,1.3333333333333333,2.0,1,0,2,3,0.3333333333333333
Kaiserslautern,Hannover 96,0,0,draw,1988-1989,0.6666666666666666,1.6666666666666667,0,2,1,3,0.0,1.6666666666666667,2.6666666666666665,0,0,3,3,0.0
Bochum,Uerdingen,1,1,draw,1988-1989,0.6666666666666666,0.6666666666666666,1,1,1,3,0.3333333333333333,1.3333333333333333,1.0,1,2,0,3,0.3333333333333333
Leverkusen,Dortmund,2,0,win,1988-1989,1.6666666666666667,1.6666666666666667,1,1,1,3,0.3333333333333333,0.6666666666666666,1.0,0,2,1,3,0.0
Nürnberg,Mannheim,1,0,win,1988-1989,1.0,1.6666666666666667,1,0,2,3,0.3333333333333333,1.6666666666666667,0.6666666666666666,1,2,0,3,0.3333333333333333
Hamburger SV,Bayern Munich,0,1,loss,1988-1989,1.3333333333333333,1.3333333333333333,1,1,1,3,0.3333333333333333,2.5,1.0,1,1,0,2,0.5
Uerdingen,Eint Frankfurt,4,1,win,1988-1989,1.25,1.0,1,3,0,4,0.25,0.5,1.75,1,0,3,4,0.25
St Pauli,Stuttgart,2,1,win,1988-1989,0.75,1.0,1,1,2,4,0.25,2.6666666666666665,0.6666666666666666,3,0,0,3,1.0
Bayern Munich,Kaiserslautern,5,1,win,1988-1989,2.0,0.6666666666666666,2,1,0,3,0.6666666666666666,0.5,1.25,0,3,1,4,0.0
Nürnberg,Bochum,3,1,win,1988-1989,1.0,1.25,2,0,2,4,0.5,0.75,0.75,1,2,1,4,0.25
S'gart Kickers,Hamburger SV,2,0,win,1988-1989,1.0,2.5,1,0,3,4,0.25,1.0,1.25,1,1,2,4,0.25
Hannover 96,Leverkusen,2,2,draw,1988-1989,1.25,2.0,0,1,3,4,0.0,1.75,1.25,2,1,1,4,0.5
Mannheim,Werder Bremen,1,1,draw,1988-1989,1.25,0.75,1,2,1,4,0.25,1.5,1.5,2,1,1,4,0.5
Dortmund,Gladbach,0,0,draw,1988-1989,0.5,1.25,0,2,2,4,0.0,2.5,2.25,2,0,2,4,0.5
Köln,Karlsruher,6,1,win,1988-1989,1.0,0.5,2,1,1,4,0.5,2.75,1.5,3,1,0,4,0.75
Gladbach,Hannover 96,2,0,win,1988-1989,2.0,1.8,2,1,2,5,0.4,1.4,2.0,0,2,3,5,0.0
Hamburger SV,St Pauli,1,1,draw,1988-1989,0.8,1.4,1,1,3,5,0.2,1.0,1.0,2,1,2,5,0.4
Kaiserslautern,S'gart Kickers,6,0,win,1988-1989,0.6,2.0,0,3,2,5,0.0,1.2,2.0,2,0,3,5,0.4
Eint Frankfurt,Nürnberg,1,0,win,1988-1989,0.6,2.2,1,0,4,5,0.2,1.4,1.2,3,0,2,5,0.6
Leverkusen,Bayern Munich,1,1,draw,1988-1989,1.8,1.4,2,2,1,5,0.4,2.75,0.75,3,1,0,4,0.75
Stuttgart,Köln,2,0,win,1988-1989,2.25,1.0,3,0,1,4,0.75,2.0,0.6,3,1,1,5,0.6
Karlsruher,Uerdingen,0,1,loss,1988-1989,2.4,2.4,3,1,1,5,0.6,1.8,1.0,2,3,0,5,0.4
