home_team,away_team,date,attendance,venue,referee,status,home_goals,away_goals,season,home_form_goals_scored,home_form_goals_conceded,home_form_win_rate,away_form_goals_scored,away_form_goals_conceded,away_form_win_rate,result
Oviedo,Real Sociedad,1988-09-03,,Carlos Tartiere,Alfonso Álvarez,played,1.0,0.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,win
Logroñés,Atlético Madrid,1988-09-03,,Las Gaunas,Andújar Oliver,played,1.0,0.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,win
Barcelona,Espanyol,1988-09-03,,Nou Camp,Ramos Marcos,played,2.0,0.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,win
Athletic Club,Sevilla,1988-09-03,,San Mamés,Soriano Aladren,played,3.0,0.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,win
Celta Vigo,Cádiz,1988-09-04,,Estadio de Balaídos,Pajares Paz,played,3.0,2.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,win
Real Madrid,Osasuna,1988-09-04,,Santiago Bernabéu,Socorro González,played,2.0,2.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,draw
Valladolid,Elche,1988-09-04,,Nuevo Zorrilla,Díaz Agüero,played,3.0,0.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,win
Zaragoza,Valencia,1988-09-04,,La Romareda,Díaz Vega,played,0.0,0.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,draw
Real Murcia,Málaga,1988-09-04,,La Condomina,Mazorra Freire,played,1.0,0.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,win
Real Betis,Sporting Gijón,1988-09-04,,Benito Villamarín,Urío Velázquez,played,0.0,1.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,loss
Málaga,Celta Vigo,1988-09-10,,La Rosaleda,Benavente Garasa,played,2.0,2.0,1988-1989,0.0,1.0,0.0,3.0,2.0,1.0,draw
Espanyol,Real Murcia,1988-09-10,,Sarriá,Calvo Córdova,played,3.0,0.0,1988-1989,0.0,2.0,0.0,1.0,0.0,1.0,win
Valencia,Valladolid,1988-09-10,,Luis Casanova,Marín López,played,1.0,0.0,1988-1989,0.0,0.0,0.0,3.0,0.0,1.0,win
Sevilla,Oviedo,1988-09-11,,Ramón Sánchez Pizjuán,Vico Díaz,played,2.0,1.0,1988-1989,0.0,3.0,0.0,1.0,0.0,1.0,win
