home_team,away_team,home_goals,away_goals,result,season,home_avg_goals_scored,home_avg_goals_conceded,home_wins,home_draws,home_losses,home_matches_played,home_win_rate,away_avg_goals_scored,away_avg_goals_conceded,away_wins,away_draws,away_losses,away_matches_played,away_win_rate
Pescara,Roma,0,0,draw,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Cesena,Lazio,0,0,draw,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Como,Juventus,0,3,loss,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Ascoli,Inter,1,3,loss,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Milan,Fiorentina,4,0,win,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Hellas Verona,Lecce,2,1,win,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Pisa,Bologna,0,2,loss,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Torino,Sampdoria,2,3,loss,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Napoli,Atalanta,1,0,win,1988-1989,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Bologna,Roma,0,1,loss,1988-1989,2.0,0.0,1,0,0,1,1.0,0.0,0.0,0,1,0,1,0.0
Atalanta,Hellas Verona,2,2,draw,1988-1989,0.0,1.0,0,0,1,1,0.0,2.0,1.0,1,0,0,1,1.0
Lazio,Torino,1,1,draw,1988-1989,0.0,0.0,0,1,0,1,0.0,2.0,3.0,0,0,1,1,0.0
Sampdoria,Como,2,0,win,1988-1989,3.0,2.0,1,0,0,1,1.0,0.0,3.0,0,0,1,1,0.0
Lecce,Napoli,1,0,win,1988-1989,1.0,2.0,0,0,1,1,0.0,1.0,0.0,1,0,0,1,1.0
Pescara,Milan,1,3,loss,1988-1989,0.0,0.0,0,1,0,1,0.0,4.0,0.0,1,0,0,1,1.0
Fiorentina,Ascoli,2,1,win,1988-1989,0.0,4.0,0,0,1,1,0.0,1.0,3.0,0,0,1,1,0.0
Inter,Pisa,4,1,win,1988-1989,3.0,1.0,1,0,0,1,1.0,0.0,2.0,0,0,1,1,0.0
Juventus,Cesena,2,2,draw,1988-1989,3.0,0.0,1,0,0,1,1.0,0.0,0.0,0,1,0,1,0.0
Milan,Lazio,0,0,draw,1988-1989,3.5,0.5,2,0,0,2,1.0,0.5,0.5,0,2,0,2,0.0
Roma,Lecce,1,1,draw,1988-1989,0.5,0.0,1,1,0,2,0.5,1.0,1.0,1,0,1,2,0.5
Como,Bologna,1,0,win,1988-1989,0.0,2.5,0,0,2,2,0.0,1.0,0.5,1,0,1,2,0.5
Pisa,Sampdoria,1,1,draw,1988-1989,0.5,3.0,0,0,2,2,0.0,2.5,1.0,2,0,0,2,1.0
Hellas Verona,Inter,0,0,draw,1988-1989,2.0,1.5,1,1,0,2,0.5,3.5,1.0,2,0,0,2,1.0
Napoli,Pescara,8,2,win,1988-1989,0.5,0.5,1,0,1,2,0.5,0.5,1.5,0,1,1,2,0.0
Cesena,Fiorentina,0,3,loss,1988-1989,1.0,1.0,0,2,0,2,0.0,1.0,2.5,1,0,1,2,0.5
Ascoli,Juventus,1,1,draw,1988-1989,1.0,2.5,0,0,2,2,0.0,2.5,1.0,1,1,0,2,0.5
Torino,Atalanta,1,1,draw,1988-1989,1.5,2.0,0,1,1,2,0.0,1.0,1.5,0,1,1,2,0.0
Lecce,Pisa,1,0,win,1988-1989,1.0,1.0,1,1,1,3,0.3333333333333333,0.6666666666666666,2.3333333333333335,0,1,2,3,0.0
Sampdoria,Ascoli,1,0,win,1988-1989,2.0,1.0,2,1,0,3,0.6666666666666666,1.0,2.0,0,1,2,3,0.0
Cesena,Napoli,0,1,loss,1988-1989,0.6666666666666666,1.6666666666666667,0,2,1,3,0.0,3.0,1.0,2,0,1,3,0.6666666666666666
Lazio,Como,1,1,draw,1988-1989,0.3333333333333333,0.3333333333333333,0,3,0,3,0.0,0.3333333333333333,1.6666666666666667,1,0,2,3,0.3333333333333333
Inter,Roma,2,0,win,1988-1989,2.3333333333333335,0.6666666666666666,2,1,0,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,1,2,0,3,0.3333333333333333
Fiorentina,Torino,2,1,win,1988-1989,1.6666666666666667,1.6666666666666667,2,0,1,3,0.6666666666666666,1.3333333333333333,1.6666666666666667,0,2,1,3,0.0
Pescara,Hellas Verona,0,0,draw,1988-1989,1.0,3.6666666666666665,0,1,2,3,0.0,1.3333333333333333,1.0,1,2,0,3,0.3333333333333333
Atalanta,Bologna,2,0,win,1988-1989,1.0,1.3333333333333333,0,2,1,3,0.0,0.6666666666666666,0.6666666666666666,1,0,2,3,0.3333333333333333
Juventus,Milan,0,0,draw,1988-1989,2.0,1.0,1,2,0,3,0.3333333333333333,2.3333333333333335,0.3333333333333333,2,1,0,3,0.6666666666666666
Torino,Cesena,2,0,win,1988-1989,1.25,1.75,0,2,2,4,0.0,0.5,1.5,0,2,2,4,0.0
Como,Lecce,2,1,win,1988-1989,0.5,1.5,1,1,2,4,0.25,1.0,0.75,2,1,1,4,0.5
Inter,Sampdoria,1,0,win,1988-1989,2.25,0.5,3,1,0,4,0.75,1.75,0.75,3,1,0,4,0.75
Napoli,Lazio,1,1,draw,1988-1989,2.5,0.75,3,0,1,4,0.75,0.5,0.5,0,4,0,4,0.0
Ascoli,Pescara,0,1,loss,1988-1989,0.75,1.75,0,1,3,4,0.0,0.75,2.75,0,2,2,4,0.0
Fiorentina,Atalanta,1,1,draw,1988-1989,1.75,1.5,3,0,1,4,0.75,1.25,1.0,1,2,1,4,0.25
Bologna,Juventus,3,4,loss,1988-1989,0.5,1.0,1,0,3,4,0.25,1.5,0.75,1,3,0,4,0.25
Hellas Verona,Milan,1,2,loss,1988-1989,1.0,0.75,1,3,0,4,0.25,1.75,0.25,2,2,0,4,0.5
Roma,Pisa,2,1,win,1988-1989,0.5,0.75,1,2,1,4,0.25,0.5,2.0,0,1,3,4,0.0
