home_team,away_team,date,attendance,venue,referee,status,home_goals,away_goals,season,home_form_goals_scored,home_form_goals_conceded,home_form_win_rate,away_form_goals_scored,away_form_goals_conceded,away_form_win_rate,result
Odense dk,es Real Madrid,1990-09-18,,Atletikstadion,Wieland Ziller,played,1.0,4.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,loss
Odense dk,es Real Madrid,1990-09-18,,Atletikstadion,Wieland Ziller,played,1.0,4.0,1990-1991,1.0,4.0,0.0,4.0,1.0,1.0,loss
APOEL FC cy,de Bayern Munich,1990-09-19,,Makarion,Stefan Dan Petrescu,played,2.0,3.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,loss
Union Luxembourg lu,de Dresden,1990-09-19,,Achille Hammerel,Cees Bakker,played,1.0,3.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,loss
Sparta Prague cz,ru Spartak Moscow,1990-09-19,,Generali Arena,Serge Muhmenthaler,played,0.0,2.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,loss
Lech Poznań pl,gr Panathinaikos,1990-09-19,,Stadion Miejski,Erik Fredriksson,played,3.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Malmö se,tr Beşiktaş,1990-09-19,,Malmö Stadion,Hubert Forstinger,played,3.0,2.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
FC Tirol Innsbruck at,fi Lahti,1990-09-19,,Tivoli,Borislav Aleksandrov,played,5.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Lillestrøm no,be Club Brugge,1990-09-19,,Åråsen,Carlo Longhi,played,1.0,1.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,draw
Porto pt,nir Portadown FC,1990-09-19,,O Bonfim,Rene Bindels,played,5.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Valletta FC mt,sct Rangers,1990-09-19,,National Stadium,Vasilios Nikakis,played,0.0,4.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,loss
Dinamo București ro,ie St Patrick's Athletic FC,1990-09-19,,Dinamo,Friedrich Kaupe,played,4.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Marseille fr,al Dinamo Tirana,1990-09-19,,Stade Vélodrome,Frans Houben,played,5.0,1.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
KA is,bg CSKA Sofia,1990-09-19,,Akureyrarvöllur,Henning Lund-Sörensen,played,1.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Marseille fr,al Dinamo Tirana,1990-09-19,,Stade Vélodrome,Frans Houben,played,5.0,1.0,1990-1991,5.0,1.0,1.0,1.0,5.0,0.0,win
Napoli it,hu Újpest,1990-09-19,,Stadio San Paolo,Guy Goethals,played,3.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Red Star rs,ch Grasshopper,1990-09-19,,Stadion Rajko Mitić,Carlo Longhi,played,1.0,1.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,draw
APOEL FC cy,de Bayern Munich,1990-09-19,,Makarion,Stefan Dan Petrescu,played,2.0,3.0,1990-1991,2.0,3.0,0.0,3.0,2.0,1.0,loss
Union Luxembourg lu,de Dresden,1990-09-19,,Achille Hammerel,Cees Bakker,played,1.0,3.0,1990-1991,1.0,3.0,0.0,3.0,1.0,1.0,loss
Sparta Prague cz,ru Spartak Moscow,1990-09-19,,Generali Arena,Serge Muhmenthaler,played,0.0,2.0,1990-1991,0.0,2.0,0.0,2.0,0.0,1.0,loss
Lech Poznań pl,gr Panathinaikos,1990-09-19,,Stadion Miejski,Erik Fredriksson,played,3.0,0.0,1990-1991,3.0,0.0,1.0,0.0,3.0,0.0,win
Malmö se,tr Beşiktaş,1990-09-19,,Malmö Stadion,Hubert Forstinger,played,3.0,2.0,1990-1991,3.0,2.0,1.0,2.0,3.0,0.0,win
FC Tirol Innsbruck at,fi Lahti,1990-09-19,,Tivoli,Borislav Aleksandrov,played,5.0,0.0,1990-1991,5.0,0.0,1.0,0.0,5.0,0.0,win
Lillestrøm no,be Club Brugge,1990-09-19,,Åråsen,Carlo Longhi,played,1.0,1.0,1990-1991,1.0,1.0,0.0,1.0,1.0,0.0,draw
Porto pt,nir Portadown FC,1990-09-19,,O Bonfim,Rene Bindels,played,5.0,0.0,1990-1991,5.0,0.0,1.0,0.0,5.0,0.0,win
Valletta FC mt,sct Rangers,1990-09-19,,National Stadium,Vasilios Nikakis,played,0.0,4.0,1990-1991,0.0,4.0,0.0,4.0,0.0,1.0,loss
Dinamo București ro,ie St Patrick's Athletic FC,1990-09-19,,Dinamo,Friedrich Kaupe,played,4.0,0.0,1990-1991,4.0,0.0,1.0,0.0,4.0,0.0,win
Red Star rs,ch Grasshopper,1990-09-19,,Stadion Rajko Mitić,Carlo Longhi,played,1.0,1.0,1990-1991,1.0,1.0,0.0,1.0,1.0,0.0,draw
Napoli it,hu Újpest,1990-09-19,,Stadio San Paolo,Guy Goethals,played,3.0,0.0,1990-1991,3.0,0.0,1.0,0.0,3.0,0.0,win
KA is,bg CSKA Sofia,1990-09-19,,Akureyrarvöllur,Henning Lund-Sörensen,played,1.0,0.0,1990-1991,1.0,0.0,1.0,0.0,1.0,0.0,win
Real Madrid es,dk Odense,1990-10-02,,Estadio Santiago Bernabéu,Arturo Martino,played,6.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Real Madrid es,dk Odense,1990-10-02,,Estadio Santiago Bernabéu,Arturo Martino,played,6.0,0.0,1990-1991,6.0,0.0,1.0,0.0,6.0,0.0,win
Újpest hu,it Napoli,1990-10-03,,Ferenc Szusza Stadion,Claude Bouillet,played,0.0,2.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,loss
Beşiktaş tr,se Malmö,1990-10-03,,BJK İnönü Stadyumu,Wolf-Günter Wiesel,played,2.0,2.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,draw
CSKA Sofia bg,is KA,1990-10-03,,Bulgarska Armia Stadion,Plarent Kotherja,played,3.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Portadown FC nir,pt Porto,1990-10-03,,Shamrock Park,Sveinn Sveinsson,played,1.0,8.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,loss
Grasshopper ch,rs Red Star,1990-10-03,,Hardturm,José Rosa dos Santos,played,1.0,4.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,loss
Bayern Munich de,cy APOEL FC,1990-10-03,,Olympiastadion,Edgar Azzopardi,played,4.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Lahti fi,at FC Tirol Innsbruck,1990-10-03,,Keskusurheilukenttä,Wojciech Rudy,played,1.0,2.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,loss
Spartak Moscow ru,cz Sparta Prague,1990-10-03,,Luzhniki Stadium,Klaus Peschel,played,2.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Dinamo Tirana al,fr Marseille,1990-10-03,,Selman Stermazi,Pierluigi Pairetto,played,0.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,draw
Panathinaikos gr,pl Lech Poznań,1990-10-03,,OACA Spyros Louis,Bruno Galler,played,1.0,2.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,loss
Rangers sct,mt Valletta FC,1990-10-03,,Ibrox Stadium,Howard King,played,6.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Club Brugge be,no Lillestrøm,1990-10-03,,Jan Breydelstadion,Alan Snoddy,played,2.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Rangers sct,mt Valletta FC,1990-10-03,,Ibrox Stadium,Howard King,played,6.0,0.0,1990-1991,6.0,0.0,1.0,0.0,6.0,0.0,win
St Patrick's Athletic FC ie,ro Dinamo București,1990-10-03,,Tolka Park,Henning Lund-Sörensen,played,1.0,1.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,draw
Dresden de,lu Union Luxembourg,1990-10-03,,Rudolf-Harbig,Tadeusz Ignatowicz,played,3.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Panathinaikos gr,pl Lech Poznań,1990-10-03,,OACA Spyros Louis,Bruno Galler,played,1.0,2.0,1990-1991,1.0,2.0,0.0,2.0,1.0,1.0,loss
Club Brugge be,no Lillestrøm,1990-10-03,,Jan Breydelstadion,Alan Snoddy,played,2.0,0.0,1990-1991,2.0,0.0,1.0,0.0,2.0,0.0,win
