home_team,away_team,date,attendance,venue,referee,status,home_goals,away_goals,season,home_form_goals_scored,home_form_goals_conceded,home_form_win_rate,away_form_goals_scored,away_form_goals_conceded,away_form_win_rate,result
Dortmund de,de Chemnitzer,1990-09-18,,,Martín Navarrete,played,2.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
FH is,sct Dundee United,1990-09-18,,,Patrick Kelly,played,1.0,3.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,loss
Roda JC Kerkrade nl,fr Monaco,1990-09-18,,,Rune Larsson,played,1.0,3.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,loss
FC Avenir Beggen lu,sk Inter Bratislava,1990-09-18,,,Hans Reygwart,played,2.0,1.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Hibernians FC mt,rs Partizan,1990-09-18,,,Ilias Karamanis,played,0.0,3.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,loss
Dortmund de,de Chemnitzer,1990-09-18,,,Martín Navarrete,played,2.0,0.0,1990-1991,2.0,0.0,1.0,0.0,2.0,0.0,win
Glenavon FC nir,fr Bordeaux,1990-09-18,,,Rune Pedersen,played,0.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,draw
Sporting CP pt,be Mechelen,1990-09-18,,,Kenny Hope,played,1.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Glenavon FC nir,fr Bordeaux,1990-09-18,,,Rune Pedersen,played,0.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,draw
FH is,sct Dundee United,1990-09-18,,,Patrick Kelly,played,1.0,3.0,1990-1991,1.0,3.0,0.0,3.0,1.0,1.0,loss
Roda JC Kerkrade nl,fr Monaco,1990-09-18,,,Rune Larsson,played,1.0,3.0,1990-1991,1.0,3.0,0.0,3.0,1.0,1.0,loss
FC Avenir Beggen lu,sk Inter Bratislava,1990-09-18,,,Hans Reygwart,played,2.0,1.0,1990-1991,2.0,1.0,1.0,1.0,2.0,0.0,win
Hibernians FC mt,rs Partizan,1990-09-18,,,Ilias Karamanis,played,0.0,3.0,1990-1991,0.0,3.0,0.0,3.0,0.0,1.0,loss
Sporting CP pt,be Mechelen,1990-09-18,,,Kenny Hope,played,1.0,0.0,1990-1991,1.0,0.0,1.0,0.0,1.0,0.0,win
Rapid Wien at,it Inter,1990-09-19,,,Joel Quiniou,played,2.0,1.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Norrköping se,de Köln,1990-09-19,,,Marcel Van Langenhove,played,0.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,draw
Brøndby dk,de Eint Frankfurt,1990-09-19,,,Andrew Wilson Waddell,played,5.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Rapid Wien at,it Inter,1990-09-19,,,Joel Quiniou,played,2.0,1.0,1990-1991,2.0,1.0,1.0,1.0,2.0,0.0,win
Partizani Tirana al,ro U Craiova,1990-09-19,,,Michel Vautrot,played,0.0,1.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,loss
Iraklis Thessaloniki gr,es Valencia,1990-09-19,,,Michel Girard,played,0.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,draw
Leverkusen de,nl Twente,1990-09-19,,,Keith Cooper,played,1.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Aston Villa eng,cz Baník Ostrava,1990-09-19,,,Manfred Neuner,played,3.0,1.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Katowice pl,fi TPS,1990-09-19,,,Erman Toroglu,played,3.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Roma it,pt Benfica,1990-09-19,,,Kurt Röthlisberger,played,1.0,0.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
Slavia Sofia bg,cy AC Omonia,1990-09-19,,,Vladimir Chekhoiev,played,2.0,1.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
FC Dnipro ua,sct Hearts,1990-09-19,,,Werner Föckler,played,1.0,1.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,draw
Torpedo Moscow ru,se GAIS,1990-09-19,,,,played,4.0,1.0,1990-1991,0.0,0.0,0.0,0.0,0.0,0.0,win
