home_team,away_team,date,attendance,venue,referee,status,home_goals,away_goals,season,home_form_goals_scored,home_form_goals_conceded,home_form_win_rate,away_form_goals_scored,away_form_goals_conceded,away_form_win_rate,result
United States us,be Belgium,1930-07-13,18346.0,Parque Central (Neutral Site),Jose Macias,played,3.0,0.0,1930,0.0,0.0,0.0,0.0,0.0,0.0,win
France fr,mx Mexico,1930-07-13,4444.0,Pocitos (Neutral Site),Domingo Lombardi,played,4.0,1.0,1930,0.0,0.0,0.0,0.0,0.0,0.0,win
United States us,be Belgium,1930-07-13,18346.0,Parque Central (Neutral Site),Jose Macias,played,3.0,0.0,1930,3.0,0.0,1.0,0.0,3.0,0.0,win
France fr,mx Mexico,1930-07-13,4444.0,Pocitos (Neutral Site),Domingo Lombardi,played,4.0,1.0,1930,4.0,1.0,1.0,1.0,4.0,0.0,win
Romania ro,pe Peru,1930-07-14,2549.0,Pocitos (Neutral Site),Alberto Warnken,played,3.0,1.0,1930,0.0,0.0,0.0,0.0,0.0,0.0,win
Yugoslavia yu,br Brazil,1930-07-14,24059.0,Parque Central (Neutral Site),Anibal Tejada,played,2.0,1.0,1930,0.0,0.0,0.0,0.0,0.0,0.0,win
Romania ro,pe Peru,1930-07-14,2549.0,Pocitos (Neutral Site),Alberto Warnken,played,3.0,1.0,1930,3.0,1.0,1.0,1.0,3.0,0.0,win
Yugoslavia yu,br Brazil,1930-07-14,24059.0,Parque Central (Neutral Site),Anibal Tejada,played,2.0,1.0,1930,2.0,1.0,1.0,1.0,2.0,0.0,win
Argentina ar,fr France,1930-07-15,23409.0,Parque Central (Neutral Site),Gilberto Rego,played,1.0,0.0,1930,0.0,0.0,0.0,0.0,0.0,0.0,win
Argentina ar,fr France,1930-07-15,23409.0,Parque Central (Neutral Site),Gilberto Rego,played,1.0,0.0,1930,1.0,0.0,1.0,0.0,1.0,0.0,win
Chile cl,mx Mexico,1930-07-16,9249.0,Parque Central (Neutral Site),Henry Cristophe,played,3.0,0.0,1930,0.0,0.0,0.0,1.0,4.0,0.0,win
Chile cl,mx Mexico,1930-07-16,9249.0,Parque Central (Neutral Site),Henry Cristophe,played,3.0,0.0,1930,3.0,0.0,1.0,0.6666666666666666,3.6666666666666665,0.0,win
United States us,py Paraguay,1930-07-17,18306.0,Parque Central (Neutral Site),Jose Macias,played,3.0,0.0,1930,3.0,0.0,1.0,0.0,0.0,0.0,win
Yugoslavia yu,bo Bolivia,1930-07-17,18306.0,Parque Central (Neutral Site),Francisco Mateucci,played,4.0,0.0,1930,2.0,1.0,1.0,0.0,0.0,0.0,win
United States us,py Paraguay,1930-07-17,18306.0,Parque Central (Neutral Site),Jose Macias,played,3.0,0.0,1930,3.0,0.0,1.0,0.0,3.0,0.0,win
