0,1,2,Source,URL,Rk,Nation,# Players,Min,List,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Notes,Attendance,Top Team Scorer,Goalkeeper,"('Unnamed: 0_level_0', 'Rk')","('Unnamed: 1_level_0', 'Squad')","('Home', 'MP')","('Home', 'W')","('Home', 'D')","('Home', 'L')","('Home', 'GF')","('Home', 'GA')","('Home', 'GD')","('Home', 'Pts')","('Home', 'Pts/MP')","('Home', 'xG')","('Home', 'xGA')","('Home', 'xGD')","('Home', 'xGD/90')","('Away', 'MP')","('Away', 'W')","('Away', 'D')","('Away', 'L')","('Away', 'GF')","('Away', 'GA')","('Away', 'GD')","('Away', 'Pts')","('Away', 'Pts/MP')","('Away', 'xG')","('Away', 'xGA')","('Away', 'xGD')","('Away', 'xGD/90')","('Source', '')","('URL', '')",Last 5
1.0,Harry Kane • Bayern Munich,8.0,2023-2024 Champions League Stats,https://fbref.com/en/comps/8/2023-2024/2023-2024-Champions-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kylian Mbappé • Paris S-G,8.0,2023-2024 Champions League Stats,https://fbref.com/en/comps/8/2023-2024/2023-2024-Champions-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Erling Haaland • Manchester City,6.0,2023-2024 Champions League Stats,https://fbref.com/en/comps/8/2023-2024/2023-2024-Champions-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vinicius Júnior • Real Madrid,6.0,2023-2024 Champions League Stats,https://fbref.com/en/comps/8/2023-2024/2023-2024-Champions-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antoine Griezmann • Atlético Madrid,6.0,2023-2024 Champions League Stats,https://fbref.com/en/comps/8/2023-2024/2023-2024-Champions-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Álvaro Morata • Atlético Madrid,5.0,2023-2024 Champions League Stats,https://fbref.com/en/comps/8/2023-2024/2023-2024-Champions-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Julián Álvarez • Manchester City,5.0,2023-2024 Champions League Stats,https://fbref.com/en/comps/8/2023-2024/2023-2024-Champions-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rasmus Højlund • Manchester Utd,5.0,2023-2024 Champions League Stats,https://fbref.com/en/comps/8/2023-2024/2023-2024-Champions-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galeno • Porto,5.0,2023-2024 Champions League Stats,https://fbref.com/en/comps/8/2023-2024/2023-2024-Champions-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joselu • Real Madrid,5.0,2023-2024 Champions League Stats,https://fbref.com/en/comps/8/2023-2024/2023-2024-Champions-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
