0,1,2,Source,URL,Rk,Nation,# Players,Min,List,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Notes,Attendance,Top Team Scorer,Goalkeeper,"('Unnamed: 0_level_0', 'Rk')","('Unnamed: 1_level_0', 'Squad')","('Home', 'MP')","('Home', 'W')","('Home', 'D')","('Home', 'L')","('Home', 'GF')","('Home', 'GA')","('Home', 'GD')","('Home', 'Pts')","('Home', 'Pts/MP')","('Home', 'xG')","('Home', 'xGA')","('Home', 'xGD')","('Home', 'xGD/90')","('Away', 'MP')","('Away', 'W')","('Away', 'D')","('Away', 'L')","('Away', 'GF')","('Away', 'GA')","('Away', 'GD')","('Away', 'Pts')","('Away', 'Pts/MP')","('Away', 'xG')","('Away', 'xGA')","('Away', 'xGD')","('Away', 'xGD/90')","('Source', '')","('URL', '')"
1.0,Anass Zaroury • Panathinaikos,3.0,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Sævar Magnússon • Brann,2.0,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dejan Ljubicic • Dinamo Zagreb,2.0,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milan Smit • Go Ahead Eag,2.0,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karol Świderski • Panathinaikos,2.0,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dion Drena Beljo • Dinamo Zagreb,2.0,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,William Gomes • Porto,2.0,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Borja Iglesias • Celta Vigo,2.0,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Igor Jesus • Nott'ham Forest,2.0,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rafiu Durosinmi • Viktoria Plzeň,2.0,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joel Monteiro • Young Boys,2.0,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kerem Aktürkoğlu • Fenerbahçe,2.0,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,John McGinn • Aston Villa,2.0,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ousmane Diao • Midtjylland,2.0,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,William Gomes • Porto,1.84,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Borja Iglesias • Celta Vigo,1.71,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Anass Zaroury • Panathinaikos,1.7,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Terem Moffi • Nice,1.5,2025-2026 Europa League Stats,https://fbref.com/en/comps/19/2025-2026/2025-2026-Europa-League-Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
