Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,Source,URL,Wk,xG,xG.1
Group stage,Sun,1930-07-13,15:00,United States us,3–0,be Belgium,18346.0,Parque Central (Neutral Site),Jose Macias,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Group stage,Sun,1930-07-13,15:00,France fr,4–1,mx Mexico,4444.0,Pocitos (Neutral Site),Domingo Lombardi,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Group stage,Mon,1930-07-14,12:45,Yugoslavia yu,2–1,br Brazil,24059.0,Parque Central (Neutral Site),Anibal Tejada,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Group stage,Mon,1930-07-14,14:50,Romania ro,3–1,pe Peru,2549.0,Pocitos (Neutral Site),Alberto Warnken,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Group stage,Tue,1930-07-15,16:00,Argentina ar,1–0,fr France,23409.0,Parque Central (Neutral Site),Gilberto Rego,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Group stage,Wed,1930-07-16,14:45,Chile cl,3–0,mx Mexico,9249.0,Parque Central (Neutral Site),Henry Cristophe,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Group stage,Thu,1930-07-17,12:45,Yugoslavia yu,4–0,bo Bolivia,18306.0,Parque Central (Neutral Site),Francisco Mateucci,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Group stage,Thu,1930-07-17,14:45,United States us,3–0,py Paraguay,18306.0,Parque Central (Neutral Site),Jose Macias,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Group stage,Fri,1930-07-18,14:30,Uruguay uy,1–0,pe Peru,57735.0,Estadio Centenario (Neutral Site),Jean Langenus,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Group stage,Sat,1930-07-19,12:50,Chile cl,1–0,fr France,2000.0,Estadio Centenario (Neutral Site),Anibal Tejada,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Group stage,Sat,1930-07-19,15:00,Argentina ar,6–3,mx Mexico,42100.0,Estadio Centenario (Neutral Site),Ulises Saucedo,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Group stage,Sun,1930-07-20,13:00,Brazil br,4–0,bo Bolivia,25466.0,Estadio Centenario (Neutral Site),Thomas Balway,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Group stage,Sun,1930-07-20,15:00,Paraguay py,1–0,be Belgium,12000.0,Estadio Centenario (Neutral Site),Ricardo Vallarino,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Group stage,Mon,1930-07-21,14:50,Uruguay uy,4–0,ro Romania,70022.0,Estadio Centenario (Neutral Site),Gilberto Rego,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Group stage,Tue,1930-07-22,14:45,Argentina ar,3–1,cl Chile,41459.0,Estadio Centenario (Neutral Site),Jean Langenus,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Semi-finals,Sat,1930-07-26,14:45,Argentina ar,6–1,us United States,72886.0,Estadio Centenario (Neutral Site),Jean Langenus,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Semi-finals,Sun,1930-07-27,14:45,Uruguay uy,6–1,yu Yugoslavia,79867.0,Estadio Centenario (Neutral Site),Gilberto Rego,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Final,Wed,1930-07-30,14:15,Uruguay uy,4–2,ar Argentina,68346.0,Estadio Centenario (Neutral Site),Jean Langenus,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
,Sun,1930-07-13,15:00,United States us,3–0,be Belgium,18346.0,Parque Central (Neutral Site),Jose Macias,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
,Sun,1930-07-13,15:00,France fr,4–1,mx Mexico,4444.0,Pocitos (Neutral Site),Domingo Lombardi,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
,Mon,1930-07-14,12:45,Yugoslavia yu,2–1,br Brazil,24059.0,Parque Central (Neutral Site),Anibal Tejada,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
,Mon,1930-07-14,14:50,Romania ro,3–1,pe Peru,2549.0,Pocitos (Neutral Site),Alberto Warnken,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
,Tue,1930-07-15,16:00,Argentina ar,1–0,fr France,23409.0,Parque Central (Neutral Site),Gilberto Rego,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
,Wed,1930-07-16,14:45,Chile cl,3–0,mx Mexico,9249.0,Parque Central (Neutral Site),Henry Cristophe,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
,Thu,1930-07-17,12:45,Yugoslavia yu,4–0,bo Bolivia,18306.0,Parque Central (Neutral Site),Francisco Mateucci,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
,Thu,1930-07-17,14:45,United States us,3–0,py Paraguay,18306.0,Parque Central (Neutral Site),Jose Macias,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
,Fri,1930-07-18,14:30,Uruguay uy,1–0,pe Peru,57735.0,Estadio Centenario (Neutral Site),Jean Langenus,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
,Sat,1930-07-19,12:50,Chile cl,1–0,fr France,2000.0,Estadio Centenario (Neutral Site),Anibal Tejada,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
,Sat,1930-07-19,15:00,Argentina ar,6–3,mx Mexico,42100.0,Estadio Centenario (Neutral Site),Ulises Saucedo,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
,Sun,1930-07-20,13:00,Brazil br,4–0,bo Bolivia,25466.0,Estadio Centenario (Neutral Site),Thomas Balway,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
,Sun,1930-07-20,15:00,Paraguay py,1–0,be Belgium,12000.0,Estadio Centenario (Neutral Site),Ricardo Vallarino,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
,Mon,1930-07-21,14:50,Uruguay uy,4–0,ro Romania,70022.0,Estadio Centenario (Neutral Site),Gilberto Rego,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
,Tue,1930-07-22,14:45,Argentina ar,3–1,cl Chile,41459.0,Estadio Centenario (Neutral Site),Jean Langenus,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Semi-finals,Sat,1930-07-26,14:45,Argentina ar,6–1,us United States,72886.0,Estadio Centenario (Neutral Site),Jean Langenus,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Semi-finals,Sun,1930-07-27,14:45,Uruguay uy,6–1,yu Yugoslavia,79867.0,Estadio Centenario (Neutral Site),Gilberto Rego,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
,,,,,,,,,,,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Final,Wed,1930-07-30,14:15,Uruguay uy,4–2,ar Argentina,68346.0,Estadio Centenario (Neutral Site),Jean Langenus,Match Report,,1930 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1930/schedule/1930-World-Cup-Scores-and-Fixtures,,,
Round of 16,Sun,1934-05-27,16:30,Czechoslovakia cs,2–1,ro Romania,9000.0,Littorio (Neutral Site),Jean Langenus,Match Report,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Round of 16,Sun,1934-05-27,16:30,Hungary hu,4–2,eg Egypt,9000.0,Giorgio Ascarelli (Neutral Site),Rinaldo Barlassina,Match Report,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Round of 16,Sun,1934-05-27,16:30,Austria at,3–2,fr France,16000.0,Stadio Benito Mussolini (Neutral Site),Johannes Van Moorsel,Match Report,Required Extra Time,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Round of 16,Sun,1934-05-27,16:30,Switzerland ch,3–2,nl Netherlands,33000.0,San Siro (Neutral Site),Ivan Eklind,Match Report,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Round of 16,Sun,1934-05-27,16:30,Spain es,3–1,br Brazil,21000.0,Luigi Ferraris (Neutral Site),Alfred Birlem,Match Report,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Round of 16,Sun,1934-05-27,16:30,Italy it,7–1,us United States,25000.0,Nazionale PNF (Neutral Site),Rene Mercet,Match Report,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Round of 16,Sun,1934-05-27,16:30,Germany de,5–2,be Belgium,8000.0,Giovanni Berta (Neutral Site),Francesco Mattea,Match Report,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Round of 16,Sun,1934-05-27,16:30,Sweden se,3–2,ar Argentina,14000.0,Littorale (Neutral Site),Eugen Braun,Match Report,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
,,,,,,,,,,,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Thu,1934-05-31,16:30,Austria at,2–1,hu Hungary,23000.0,Littorale (Neutral Site),Francesco Mattea,Match Report,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Thu,1934-05-31,16:30,Germany de,2–1,se Sweden,3000.0,San Siro (Neutral Site),Rinaldo Barlassina,Match Report,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Thu,1934-05-31,16:30,Italy it,1–1,es Spain,35000.0,Giovanni Berta (Neutral Site),Louis Baert,Match Report,Required Extra Time,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Thu,1934-05-31,16:30,Czechoslovakia cs,3–2,ch Switzerland,12000.0,Stadio Benito Mussolini (Neutral Site),Alois Beranek,Match Report,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Fri,1934-06-01,16:30,Italy it,1–0,es Spain,43000.0,Giovanni Berta (Neutral Site),Rene Mercet,Match Report,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
,,,,,,,,,,,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Semi-finals,Sun,1934-06-03,16:30,Czechoslovakia cs,3–1,de Germany,15000.0,Nazionale PNF (Neutral Site),Rinaldo Barlassina,Match Report,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Semi-finals,Sun,1934-06-03,16:30,Italy it,1–0,at Austria,35000.0,San Siro (Neutral Site),Ivan Eklind,Match Report,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
,,,,,,,,,,,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Third-place match,Thu,1934-06-07,18:00,Germany de,3–2,at Austria,7000.0,Giorgio Ascarelli (Neutral Site),Albino Carraro,Match Report,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
,,,,,,,,,,,,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Final,Sun,1934-06-10,17:30,Italy it,2–1,cs Czechoslovakia,55000.0,Nazionale PNF (Neutral Site),Ivan Eklind,Match Report,Required Extra Time,1934 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1934/schedule/1934-World-Cup-Scores-and-Fixtures,,,
Round of 16,Sat,1938-06-04,17:00,Switzerland ch,1–1,de Germany,27152.0,Parc des Princes (Neutral Site),Jean Langenus,Match Report,Required Extra Time,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Round of 16,Sun,1938-06-05,17:00,Cuba cu,3–3,ro Romania,7000.0,Stade Municipal (Neutral Site),Giuseppe Scarpi,Match Report,Required Extra Time,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Round of 16,Sun,1938-06-05,17:00,Hungary hu,6–0,id Dutch East Indies,9000.0,Velodrome Municipale (Neutral Site),Roger Conrie,Match Report,,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Round of 16,Sun,1938-06-05,17:00,France fr,3–1,be Belgium,30454.0,Stade Olympique (Neutral Site),Hans Wuethrich,Match Report,,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Round of 16,Sun,1938-06-05,17:00,Italy it,2–1,no Norway,19000.0,Stade Vï¿½lodrome (Neutral Site),Alois Beranek,Match Report,Required Extra Time,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Round of 16,Sun,1938-06-05,17:30,Brazil br,6–5,pl Poland,13452.0,Stade de la Meinau (Neutral Site),Ivan Eklind,Match Report,Required Extra Time,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Round of 16,Sun,1938-06-05,18:30,Czechoslovakia cs,3–0,nl Netherlands,11000.0,Cavee Verte (Neutral Site),Lucien Leclercq,Match Report,Required Extra Time,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Round of 16,Thu,1938-06-09,18:00,Switzerland ch,4–2,de Germany,20025.0,Parc des Princes (Neutral Site),Ivan Eklind,Match Report,,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Round of 16,Thu,1938-06-09,18:00,Cuba cu,2–1,ro Romania,8000.0,Stade Municipal (Neutral Site),Alfred Birlem,Match Report,,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
,,,,,,,,,,,,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Sun,1938-06-12,17:00,Italy it,3–1,fr France,58455.0,Stade Olympique (Neutral Site),Louis Baert,Match Report,,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Sun,1938-06-12,17:00,Sweden se,8–0,cu Cuba,7000.0,Fort Carree (Neutral Site),Gustav Krist,Match Report,,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Sun,1938-06-12,17:00,Brazil br,1–1,cs Czechoslovakia,22021.0,Stade du Parc Lescure (Neutral Site),Pal Von Hertzka,Match Report,Required Extra Time,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Sun,1938-06-12,17:00,Hungary hu,2–0,ch Switzerland,15000.0,Victor Boucquey (Neutral Site),Rinaldo Barlassina,Match Report,,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Tue,1938-06-14,18:00,Brazil br,2–1,cs Czechoslovakia,18141.0,Stade du Parc Lescure (Neutral Site),Georges Capdeville,Match Report,,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
,,,,,,,,,,,,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Semi-finals,Thu,1938-06-16,18:00,Hungary hu,5–1,se Sweden,20000.0,Parc des Princes (Neutral Site),Lucien Leclercq,Match Report,,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Semi-finals,Thu,1938-06-16,18:00,Italy it,2–1,br Brazil,33000.0,Stade Vï¿½lodrome (Neutral Site),Hans Wuethrich,Match Report,,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
,,,,,,,,,,,,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Third-place match,Sun,1938-06-19,17:00,Brazil br,4–2,se Sweden,12000.0,Stade du Parc Lescure (Neutral Site),Jean Langenus,Match Report,,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
,,,,,,,,,,,,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Final,Sun,1938-06-19,17:00,Italy it,4–2,hu Hungary,45000.0,Stade Olympique (Neutral Site),Georges Capdeville,Match Report,,1938 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1938/schedule/1938-World-Cup-Scores-and-Fixtures,,,
Group stage,Sun,2022-11-20,19:00,Qatar qa,0–2,ec Ecuador,67372.0,Al Bayt Stadium (Neutral Site),Daniele Orsato,Match Report,,2022 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1942/schedule/1942-World-Cup-Scores-and-Fixtures,1.0,0.3,1.2
Group stage,Mon,2022-11-21,16:00,England eng,6–2,ir IR Iran,45334.0,Khalifa International Stadium (Neutral Site),Raphael Claus,Match Report,,2022 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1942/schedule/1942-World-Cup-Scores-and-Fixtures,1.0,2.1,1.4
Group stage,Mon,2022-11-21,19:00,Senegal sn,0–2,nl Netherlands,41721.0,Al Thumama Stadium (Neutral Site),Wilton Sampaio,Match Report,,2022 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1942/schedule/1942-World-Cup-Scores-and-Fixtures,1.0,0.9,0.7
Group stage,Mon,2022-11-21,22:00,United States us,1–1,wls Wales,43418.0,Ahmed bin Ali Stadium (Neutral Site),Abdulrahman Ibrahim Al Jassim,Match Report,,2022 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1942/schedule/1942-World-Cup-Scores-and-Fixtures,1.0,0.8,1.5
